Clone,Main Source,Growth Condition,Well,Harmonic Mean,Growth Cond. Classification
RS13PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.6714464767,Class B
RS13PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,0.8302917935,Class A
RS13PM2,Sulfur,Taurocholate: 0.3%,E9,0.5707595916,Class B
RS13PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,0.7936645775,Class A
RS13PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,0.8602149003,Class A
RS13PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,0.7784359872,Class A
RS13PM2,Sulfur,D-Methionine: 0.2%,F1,0.7159745151,Class B
RS13PM2,Sulfur,D-Cysteine: 0.3%,F2,0.2512882827,Class D
RS13PM2,Sulfur,Isethionate: 0.3%,F3,0.8794190595,Class A
RS13PM2,Sulfur,Sulfanate: 0.2%,F4,0.7528404342,Class A
RS13PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.2436747784,Class D
RS13PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,0.8382115072,Class A
RS13PM2,Sulfur,DL-Ethionine: 0.3%,F7,0.4392687513,Class C
RS13PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,0.7662201966,Class A
RS13PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,0.8339142551,Class A
RS13PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,0.8124046792,Class A
RS13PM2,Sulfur,Taurine: 0.3%,F11,0.8060634165,Class A
RS13PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.6520849962,Class B
RS13PM2,Phosphorus,Blank1: 0%,G1,0.299590566,Class D
RS13PM2,Phosphorus,Blank3: 0%,G2,0.2894820362,Class D
RS13PM2,Phosphorus,Blank5: 0%,G3,0.2793062482,Class D
RS13PM2,Phosphorus,Blank7: 0%,G4,0.3085329718,Class D
RS13PM2,Phosphorus,Blank9: 0%,G5,0.2752904535,Class D
RS13PM2,Phosphorus,Blank11: 0%,G6,0.279556272,Class D
RS13PM2,Phosphorus,Blank14: 0%,G7,0.2650672635,Class D
RS13PM2,Phosphorus,Blank17: 0%,G8,0.2541835145,Class D
RS13PM2,Phosphorus,Blank20: 0%,G9,0.2075744545,Class D
RS13PM2,Phosphorus,Blank23: 0%,G10,0.201108012,Class D
RS13PM2,Phosphorus,Blank26: 0%,G11,0.2009557059,Class D
RS13PM2,Phosphorus,Blank30: 0%,G12,0.2067808908,Class D
RS13PM2,Phosphorus,Negative Control2: 0%,H1,0.3068617271,Class D
RS13PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,0.7845439865,Class A
RS13PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.1242785026,Class A
RS13PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,0.8143076454,Class A
RS13PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,0.8883932662,Class A
RS13PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,0.9030919768,Class A
RS13PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,0.922357152,Class A
RS13PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,0.473662541,Class C
RS13PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,0.5713391589,Class B
RS13PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,0.6413938332,Class B
RS13PM2,Phosphorus,Blank27: 0%,H11,0.2475993959,Class D
RS13PM2,Phosphorus,Blank31: 0%,H12,0.2143835346,Class D
RS14PM2,Nitrogen,L-Glutamate: 0.3%,A1,1.1024869676,Class A
RS14PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.3489169935,Class A
RS14PM2,Nitrogen,L-Alanine: 0.3%,A3,0.698236043,Class B
RS14PM2,Nitrogen,L-Methione: 0.2%,A4,0.9889877086,Class A
RS14PM2,Nitrogen,Positive Control: 0%,A5,1.1357191571,Class A
RS14PM2,Nitrogen,L-Glutamine: 0.3%,A6,1.1407534238,Class A
RS14PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.6692393608,Class B
RS14PM2,Nitrogen,L-Serine: 0.3%,A8,1.1285845139,Class A
RS14PM2,Nitrogen,L-Threonine: 0.2%,A9,0.3205178002,Class C
RS14PM2,Nitrogen,L-Leucine: 0.3%,A10,0.9135539023,Class A
RS14PM2,Nitrogen,L-Lysine: 0.3%,A11,0.7791745302,Class A
RS14PM2,Nitrogen,Negative Control: 0%,A12,0.2293555687,Class D
RS14PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.7809275275,Class A
RS14PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.5846617424,Class B
RS14PM2,Nitrogen,D-Alanine: 0.3%,B3,0.6040285624,Class B
RS14PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.7663441635,Class A
RS14PM2,Nitrogen,D-Asparate: 0.3%,B5,0.3332939625,Class C
RS14PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,1.1879722167,Class A
RS14PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.3529291349,Class C
RS14PM2,Nitrogen,D-Serine: 0.3%,B8,1.0023433581,Class A
RS14PM2,Nitrogen,L-Valine: 0.2%,B9,0.480872703,Class C
RS14PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.5339353586,Class B
RS14PM2,Nitrogen,Tyrosine: 0.3%,B11,1.0293336321,Class A
RS14PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.4881725916,Class C
RS14PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.6274388213,Class B
RS14PM2,Nitrogen,Putrescine: 0.3%,C2,0.4856719778,Class C
RS14PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.3804897966,Class C
RS14PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.3078019865,Class D
RS14PM2,Nitrogen,Thymidine: 0.3%,C5,0.3499357106,Class C
RS14PM2,Nitrogen,Acetamide: 0.3%,C6,0.7981307819,Class A
RS14PM2,Nitrogen,Blank12: 0%,C7,0.348246104,Class C
RS14PM2,Nitrogen,Blank15: 0%,C8,0.337065716,Class C
RS14PM2,Nitrogen,Blank18: 0%,C9,0.3437144494,Class C
RS14PM2,Nitrogen,Blank21: 0%,C10,0.3056022122,Class D
RS14PM2,Nitrogen,Blank24: 0%,C11,0.2766972063,Class D
RS14PM2,Nitrogen,Blank28: 0%,C12,0.2725212562,Class D
RS14PM2,Sulfur,Negative Control1: 0%,D1,1.0374332253,Class A
RS14PM2,Sulfur,Blank2: 0%,D2,1.0204648784,Class A
RS14PM2,Sulfur,Blank4: 0%,D3,0.9988922927,Class A
RS14PM2,Sulfur,Blank6: 0%,D4,0.9909988403,Class A
RS14PM2,Sulfur,Blank8: 0%,D5,1.0028371737,Class A
RS14PM2,Sulfur,Blank10: 0%,D6,1.0049822381,Class A
RS14PM2,Sulfur,Blank13: 0%,D7,1.0209746436,Class A
RS14PM2,Sulfur,Blank16: 0%,D8,0.9755288767,Class A
RS14PM2,Sulfur,Blank19: 0%,D9,1.0223882538,Class A
RS14PM2,Sulfur,Blank22: 0%,D10,1.0072795936,Class A
RS14PM2,Sulfur,Blank25: 0%,D11,1.0056469971,Class A
RS14PM2,Sulfur,Blank29: 0%,D12,1.2822095327,Class A
RS14PM2,Sulfur,L-Methionine: 0.3%,E1,1.1816463985,Class A
RS14PM2,Sulfur,L-Cysteine: 0.3%,E2,1.3023850668,Class A
RS14PM2,Sulfur,L-Cysteate: 0.3%,E3,0.9347543161,Class A
RS14PM2,Sulfur,Glutathione: 0.2%,E4,1.166323529,Class A
RS14PM2,Sulfur,Thiourea: 0.3%,E5,1.0570602671,Class A
RS14PM2,Sulfur,L-Djenkolate: 0.3%,E6,1.0615257238,Class A
RS14PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.941313382,Class A
RS14PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,1.0384984818,Class A
RS14PM2,Sulfur,Taurocholate: 0.3%,E9,1.0075698939,Class A
RS14PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,1.1292504613,Class A
RS14PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,1.0104861939,Class A
RS14PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,1.1426562509,Class A
RS14PM2,Sulfur,D-Methionine: 0.2%,F1,1.1625375761,Class A
RS14PM2,Sulfur,D-Cysteine: 0.3%,F2,0.9048000092,Class A
RS14PM2,Sulfur,Isethionate: 0.3%,F3,1.0769360149,Class A
RS14PM2,Sulfur,Sulfanate: 0.2%,F4,0.9759152504,Class A
RS14PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.7485469602,Class B
RS14PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,1.1341492037,Class A
RS14PM2,Sulfur,DL-Ethionine: 0.3%,F7,1.1255633383,Class A
RS14PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,1.0633849142,Class A
RS14PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,1.0316334264,Class A
RS14PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,1.0857678965,Class A
RS14PM2,Sulfur,Taurine: 0.3%,F11,1.0702726705,Class A
RS14PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.9584688349,Class A
RS14PM2,Phosphorus,Blank1: 0%,G1,0.3566002867,Class C
RS14PM2,Phosphorus,Blank3: 0%,G2,0.3125833345,Class D
RS14PM2,Phosphorus,Blank5: 0%,G3,0.3623162005,Class C
RS14PM2,Phosphorus,Blank7: 0%,G4,0.3619902471,Class C
RS14PM2,Phosphorus,Blank9: 0%,G5,0.3501302774,Class C
RS14PM2,Phosphorus,Blank11: 0%,G6,0.3740060073,Class C
RS14PM2,Phosphorus,Blank14: 0%,G7,0.3822935978,Class C
RS14PM2,Phosphorus,Blank17: 0%,G8,0.3646047703,Class C
RS14PM2,Phosphorus,Blank20: 0%,G9,0.3894843124,Class C
RS14PM2,Phosphorus,Blank23: 0%,G10,0.4259951124,Class C
RS14PM2,Phosphorus,Blank26: 0%,G11,0.4518842762,Class C
RS14PM2,Phosphorus,Blank30: 0%,G12,0.4665577494,Class C
RS14PM2,Phosphorus,Negative Control2: 0%,H1,0.4189068192,Class C
RS14PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,0.8822617125,Class A
RS14PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.1128356551,Class A
RS14PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,1.3200960835,Class A
RS14PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,1.3621619807,Class A
RS14PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,1.2479369136,Class A
RS14PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,1.3941113505,Class A
RS14PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,1.2019943091,Class A
RS14PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,1.2621617105,Class A
RS14PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,1.3417461841,Class A
RS14PM2,Phosphorus,Blank27: 0%,H11,0.460955064,Class C
RS14PM2,Phosphorus,Blank31: 0%,H12,0.4987794847,Class C
RS15PM2,Nitrogen,L-Glutamate: 0.3%,A1,1.7016700447,Class A
RS15PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.821752226,Class A
RS15PM2,Nitrogen,L-Alanine: 0.3%,A3,0.7455619334,Class B
RS15PM2,Nitrogen,L-Methione: 0.2%,A4,1.1251934905,Class A
RS15PM2,Nitrogen,Positive Control: 0%,A5,1.2483885535,Class A
RS15PM2,Nitrogen,L-Glutamine: 0.3%,A6,1.3809644416,Class A
RS15PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.7437399187,Class B
RS15PM2,Nitrogen,L-Serine: 0.3%,A8,1.1149333842,Class A
RS15PM2,Nitrogen,L-Threonine: 0.2%,A9,0.3661335716,Class C
RS15PM2,Nitrogen,L-Leucine: 0.3%,A10,0.9970193781,Class A
RS15PM2,Nitrogen,L-Lysine: 0.3%,A11,0.7151444102,Class B
RS15PM2,Nitrogen,Negative Control: 0%,A12,0.2204463836,Class D
RS15PM2,Nitrogen,D-Glutamate: 0.3%,B1,0.9579210979,Class A
RS15PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.4153194396,Class C
RS15PM2,Nitrogen,D-Alanine: 0.3%,B3,0.6964340776,Class B
RS15PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.7670065717,Class A
RS15PM2,Nitrogen,D-Asparate: 0.3%,B5,0.3650994165,Class C
RS15PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,1.0499918492,Class A
RS15PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.3560890139,Class C
RS15PM2,Nitrogen,D-Serine: 0.3%,B8,0.9543573036,Class A
RS15PM2,Nitrogen,L-Valine: 0.2%,B9,0.4680908311,Class C
RS15PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.7425677625,Class B
RS15PM2,Nitrogen,Tyrosine: 0.3%,B11,1.0731276543,Class A
RS15PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.5423038779,Class B
RS15PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.6165608196,Class B
RS15PM2,Nitrogen,Putrescine: 0.3%,C2,0.4495600127,Class C
RS15PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.3891954626,Class C
RS15PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.2666675955,Class D
RS15PM2,Nitrogen,Thymidine: 0.3%,C5,0.360700279,Class C
RS15PM2,Nitrogen,Acetamide: 0.3%,C6,0.9265140338,Class A
RS15PM2,Nitrogen,Blank12: 0%,C7,0.3276459092,Class C
RS15PM2,Nitrogen,Blank15: 0%,C8,0.3248043425,Class C
RS15PM2,Nitrogen,Blank18: 0%,C9,0.3044886305,Class D
RS15PM2,Nitrogen,Blank21: 0%,C10,0.3039224105,Class D
RS15PM2,Nitrogen,Blank24: 0%,C11,0.2692931989,Class D
RS15PM2,Nitrogen,Blank28: 0%,C12,0.2829712345,Class D
RS15PM2,Sulfur,Negative Control1: 0%,D1,1.2581017908,Class A
RS15PM2,Sulfur,Blank2: 0%,D2,1.0402761532,Class A
RS15PM2,Sulfur,Blank4: 0%,D3,1.047377777,Class A
RS15PM2,Sulfur,Blank6: 0%,D4,0.9983099343,Class A
RS15PM2,Sulfur,Blank8: 0%,D5,1.0298025278,Class A
RS15PM2,Sulfur,Blank10: 0%,D6,0.9966924823,Class A
RS15PM2,Sulfur,Blank13: 0%,D7,1.0266680629,Class A
RS15PM2,Sulfur,Blank16: 0%,D8,0.976113366,Class A
RS15PM2,Sulfur,Blank19: 0%,D9,0.9922617881,Class A
RS15PM2,Sulfur,Blank22: 0%,D10,1.018322914,Class A
RS15PM2,Sulfur,Blank25: 0%,D11,1.2026514876,Class A
RS15PM2,Sulfur,Blank29: 0%,D12,0.9964605175,Class A
RS15PM2,Sulfur,L-Methionine: 0.3%,E1,0.6932894857,Class B
RS15PM2,Sulfur,L-Cysteine: 0.3%,E2,0.8847031428,Class A
RS15PM2,Sulfur,L-Cysteate: 0.3%,E3,0.7318629944,Class B
RS15PM2,Sulfur,Glutathione: 0.2%,E4,1.0674600249,Class A
RS15PM2,Sulfur,Thiourea: 0.3%,E5,1.1550633645,Class A
RS15PM2,Sulfur,L-Djenkolate: 0.3%,E6,0.9413066256,Class A
RS15PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.7842337132,Class A
RS15PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,0.9530558673,Class A
RS15PM2,Sulfur,Taurocholate: 0.3%,E9,0.7925932135,Class A
RS15PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,1.0225424385,Class A
RS15PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,1.1208674562,Class A
RS15PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,0.5685703878,Class B
RS15PM2,Sulfur,D-Methionine: 0.2%,F1,0.8950180222,Class A
RS15PM2,Sulfur,D-Cysteine: 0.3%,F2,0.7348414607,Class B
RS15PM2,Sulfur,Isethionate: 0.3%,F3,0.9573179963,Class A
RS15PM2,Sulfur,Sulfanate: 0.2%,F4,0.8806052572,Class A
RS15PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.3320298885,Class C
RS15PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,1.0034409121,Class A
RS15PM2,Sulfur,DL-Ethionine: 0.3%,F7,0.5432481428,Class B
RS15PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,0.9446473642,Class A
RS15PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,1.0516942802,Class A
RS15PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,0.9584736913,Class A
RS15PM2,Sulfur,Taurine: 0.3%,F11,0.984064309,Class A
RS15PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.8152870662,Class A
RS15PM2,Phosphorus,Blank1: 0%,G1,0.3748048412,Class C
RS15PM2,Phosphorus,Blank3: 0%,G2,0.4268044581,Class C
RS15PM2,Phosphorus,Blank5: 0%,G3,0.4252571662,Class C
RS15PM2,Phosphorus,Blank7: 0%,G4,0.383262692,Class C
RS15PM2,Phosphorus,Blank9: 0%,G5,0.3897905995,Class C
RS15PM2,Phosphorus,Blank11: 0%,G6,0.3793230958,Class C
RS15PM2,Phosphorus,Blank14: 0%,G7,0.3759598854,Class C
RS15PM2,Phosphorus,Blank17: 0%,G8,0.3905820423,Class C
RS15PM2,Phosphorus,Blank20: 0%,G9,0.4294087877,Class C
RS15PM2,Phosphorus,Blank23: 0%,G10,0.4333321205,Class C
RS15PM2,Phosphorus,Blank26: 0%,G11,0.4614192211,Class C
RS15PM2,Phosphorus,Blank30: 0%,G12,0.4788417948,Class C
RS15PM2,Phosphorus,Negative Control2: 0%,H1,0.4128807262,Class C
RS15PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,0.9206040303,Class A
RS15PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.1726924247,Class A
RS15PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,1.1506623229,Class A
RS15PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,1.1600812551,Class A
RS15PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,1.1799593969,Class A
RS15PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,1.2577532118,Class A
RS15PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,1.3532918938,Class A
RS15PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,1.2283543797,Class A
RS15PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,1.2016488553,Class A
RS15PM2,Phosphorus,Blank27: 0%,H11,0.3908954638,Class C
RS15PM2,Phosphorus,Blank31: 0%,H12,0.4559689876,Class C
RS16PM2,Nitrogen,L-Glutamate: 0.3%,A1,1.1310353001,Class A
RS16PM2,Nitrogen,L-Asparagine: 0.3%,A2,1.8742151899,Class A
RS16PM2,Nitrogen,L-Alanine: 0.3%,A3,0.7814073352,Class A
RS16PM2,Nitrogen,L-Methione: 0.2%,A4,1.1172980435,Class A
RS16PM2,Nitrogen,Positive Control: 0%,A5,1.2980246669,Class A
RS16PM2,Nitrogen,L-Glutamine: 0.3%,A6,1.425677974,Class A
RS16PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.7401171893,Class B
RS16PM2,Nitrogen,L-Serine: 0.3%,A8,1.0811347149,Class A
RS16PM2,Nitrogen,L-Threonine: 0.2%,A9,0.3695956637,Class C
RS16PM2,Nitrogen,L-Leucine: 0.3%,A10,1.0462249221,Class A
RS16PM2,Nitrogen,L-Lysine: 0.3%,A11,0.7017481384,Class B
RS16PM2,Nitrogen,Negative Control: 0%,A12,0.2277024785,Class D
RS16PM2,Nitrogen,D-Glutamate: 0.3%,B1,1.1013612745,Class A
RS16PM2,Nitrogen,D-Asparagine: 0.3%,B2,0.5558854706,Class B
RS16PM2,Nitrogen,D-Alanine: 0.3%,B3,0.7848485051,Class A
RS16PM2,Nitrogen,L-Tryptophan: 0.2%,B4,0.6519970508,Class B
RS16PM2,Nitrogen,D-Asparate: 0.3%,B5,0.3774725203,Class C
RS16PM2,Nitrogen,L-Phenyl-alanine: 0.3%,B6,0.8890860974,Class A
RS16PM2,Nitrogen,D-Cysteine: 0.3%,B7,0.3896733925,Class C
RS16PM2,Nitrogen,D-Serine: 0.3%,B8,0.8796414944,Class A
RS16PM2,Nitrogen,L-Valine: 0.2%,B9,0.5113049743,Class B
RS16PM2,Nitrogen,L-Isoleucine: 0.2%,B10,0.6298051229,Class B
RS16PM2,Nitrogen,Tyrosine: 0.3%,B11,1.0588296123,Class A
RS16PM2,Nitrogen,L-Citrulline: 0.3%,B12,0.6475116232,Class B
RS16PM2,Nitrogen,L-Ornithine: 0.3%,C1,0.7887946094,Class A
RS16PM2,Nitrogen,Putrescine: 0.3%,C2,0.5469707779,Class B
RS16PM2,Nitrogen,D-Glucosamine: 0.3%,C3,0.484992937,Class C
RS16PM2,Nitrogen,2-Deoxy-D-Ribose: 0.3%,C4,0.331465176,Class C
RS16PM2,Nitrogen,Thymidine: 0.3%,C5,0.3528395582,Class C
RS16PM2,Nitrogen,Acetamide: 0.3%,C6,1.0146332608,Class A
RS16PM2,Nitrogen,Blank12: 0%,C7,0.3275590921,Class C
RS16PM2,Nitrogen,Blank15: 0%,C8,0.3185688285,Class D
RS16PM2,Nitrogen,Blank18: 0%,C9,0.2978089988,Class D
RS16PM2,Nitrogen,Blank21: 0%,C10,0.301050061,Class D
RS16PM2,Nitrogen,Blank24: 0%,C11,0.2877486083,Class D
RS16PM2,Nitrogen,Blank28: 0%,C12,0.2886729824,Class D
RS16PM2,Sulfur,Negative Control1: 0%,D1,1.1419827217,Class A
RS16PM2,Sulfur,Blank2: 0%,D2,1.1452266436,Class A
RS16PM2,Sulfur,Blank4: 0%,D3,1.141670155,Class A
RS16PM2,Sulfur,Blank6: 0%,D4,1.1167541847,Class A
RS16PM2,Sulfur,Blank8: 0%,D5,1.107337931,Class A
RS16PM2,Sulfur,Blank10: 0%,D6,1.1208771766,Class A
RS16PM2,Sulfur,Blank13: 0%,D7,1.1664249637,Class A
RS16PM2,Sulfur,Blank16: 0%,D8,1.1305128089,Class A
RS16PM2,Sulfur,Blank19: 0%,D9,1.141850101,Class A
RS16PM2,Sulfur,Blank22: 0%,D10,1.143304188,Class A
RS16PM2,Sulfur,Blank25: 0%,D11,1.3012360437,Class A
RS16PM2,Sulfur,Blank29: 0%,D12,1.2756837595,Class A
RS16PM2,Sulfur,L-Methionine: 0.3%,E1,1.1674563713,Class A
RS16PM2,Sulfur,L-Cysteine: 0.3%,E2,1.0180781681,Class A
RS16PM2,Sulfur,L-Cysteate: 0.3%,E3,0.9378131869,Class A
RS16PM2,Sulfur,Glutathione: 0.2%,E4,1.3136685308,Class A
RS16PM2,Sulfur,Thiourea: 0.3%,E5,1.3304310563,Class A
RS16PM2,Sulfur,L-Djenkolate: 0.3%,E6,1.1339182218,Class A
RS16PM2,Sulfur,Acetyl-Cysteine: 0.3%,E7,0.9565425519,Class A
RS16PM2,Sulfur,1-Butane-Sulfonate: 0.3%,E8,1.1204780813,Class A
RS16PM2,Sulfur,Taurocholate: 0.3%,E9,0.8064425814,Class A
RS16PM2,Sulfur,Potassium-Tetra-Thionate: 0.3%,E10,1.1554915835,Class A
RS16PM2,Sulfur,Magnesium-Sulfate: 0.3%,E11,1.2881542918,Class A
RS16PM2,Sulfur,Diethyl-Dithio-phosphate: 0.3%,E12,1.0260408258,Class A
RS16PM2,Sulfur,D-Methionine: 0.2%,F1,1.192346584,Class A
RS16PM2,Sulfur,D-Cysteine: 0.3%,F2,0.9351079631,Class A
RS16PM2,Sulfur,Isethionate: 0.3%,F3,1.1564615794,Class A
RS16PM2,Sulfur,Sulfanate: 0.2%,F4,1.107702431,Class A
RS16PM2,Sulfur,DL-Alpha-amino-n-Butyrate: 0.2%,F5,0.3560466977,Class C
RS16PM2,Sulfur,Sodium-Thio-sulfate: 0.3%,F6,1.1463971943,Class A
RS16PM2,Sulfur,DL-Ethionine: 0.3%,F7,1.0183391683,Class A
RS16PM2,Sulfur,N-acetyl-DL-methionine: 0.3%,F8,1.0359084078,Class A
RS16PM2,Sulfur,Methane-Sulfonate: 0.3%,F9,1.1798200083,Class A
RS16PM2,Sulfur,Gamma-Amino-n-Butyrate: 0.2%,F10,1.1709402529,Class A
RS16PM2,Sulfur,Taurine: 0.3%,F11,1.190175036,Class A
RS16PM2,Sulfur,N-Acetyl-L-Cysteine: 0.3%,F12,0.9572633831,Class A
RS16PM2,Phosphorus,Blank1: 0%,G1,0.4004361216,Class C
RS16PM2,Phosphorus,Blank3: 0%,G2,0.5133447091,Class B
RS16PM2,Phosphorus,Blank5: 0%,G3,0.5255537156,Class B
RS16PM2,Phosphorus,Blank7: 0%,G4,0.5131594125,Class B
RS16PM2,Phosphorus,Blank9: 0%,G5,0.4937193167,Class C
RS16PM2,Phosphorus,Blank11: 0%,G6,0.4747710383,Class C
RS16PM2,Phosphorus,Blank14: 0%,G7,0.4723562073,Class C
RS16PM2,Phosphorus,Blank17: 0%,G8,0.5044059477,Class B
RS16PM2,Phosphorus,Blank20: 0%,G9,0.5223735147,Class B
RS16PM2,Phosphorus,Blank23: 0%,G10,0.5079885465,Class B
RS16PM2,Phosphorus,Blank26: 0%,G11,0.5089560432,Class B
RS16PM2,Phosphorus,Blank30: 0%,G12,0.523822428,Class B
RS16PM2,Phosphorus,Negative Control2: 0%,H1,0.4827432646,Class C
RS16PM2,Phosphorus,Diethyl-Dithio-phosphate: 0.3%,H2,1.1714669929,Class A
RS16PM2,Phosphorus,D-Glucose-6-phosphate: 0.3%,H3,1.2070318846,Class A
RS16PM2,Phosphorus,Adenosine-5-monophosphate: 0.3%,H4,1.2368744549,Class A
RS16PM2,Phosphorus,Sodium-Pyro-phosphate: 0.3%,H5,1.4733201037,Class A
RS16PM2,Phosphorus,Sodium-Thio-phosphate: 0.3%,H6,1.4037596711,Class A
RS16PM2,Phosphorus,Potassium-phosphate: 0.3%,H7,1.4269291328,Class A
RS16PM2,Phosphorus,DL-Alpha-glycero-phosphate: 0.3%,H8,1.4501385357,Class A
RS16PM2,Phosphorus,Creatine-phosphate: 0.3%,H9,1.3697855157,Class A
RS16PM2,Phosphorus,Beta-Glycero-phosphate: 0.3%,H10,1.5086253688,Class A
RS16PM2,Phosphorus,Blank27: 0%,H11,0.4519616388,Class C
RS16PM2,Phosphorus,Blank31: 0%,H12,0.5193869378,Class B
RS17PM2,Nitrogen,L-Glutamate: 0.3%,A1,0.6392779745,Class B
RS17PM2,Nitrogen,L-Asparagine: 0.3%,A2,0.9423966875,Class A
RS17PM2,Nitrogen,L-Alanine: 0.3%,A3,0.6369565718,Class B
RS17PM2,Nitrogen,L-Methione: 0.2%,A4,0.4960951695,Class C
RS17PM2,Nitrogen,Positive Control: 0%,A5,0.911823555,Class A
RS17PM2,Nitrogen,L-Glutamine: 0.3%,A6,0.943546162,Class A
RS17PM2,Nitrogen,L-Cysteine: 0.3%,A7,0.2981715641,Class D
RS17PM2,Nitrogen,L-Serine: 0.3%,A8,0.8805789646,Class A
RS17PM2,Nitrogen,L-Threonine: 0.2%,A9,0.2105796497,Class D
RS17PM2,Nitrogen,L-Leucine: 0.3%,A10,0.6351650403,Class B
