Clone	Main Source	Growth Condition	Well	Harmonic Mean	Growth Cond. Classification
RS13PM1	Carbon	Xylitol, 0.3%	F1	0.2678806473	Class D
RS13PM1	Carbon	L-Glutamine, 0.3%	F2	0.3447791071	Class C
RS13PM1	Carbon	L-Rhamnose, 0.3%	F3	0.2766161547	Class D
RS13PM1	Carbon	Putrescine, 0.3%	F4	0.2755310571	Class D
RS13PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.2647917381	Class D
RS13PM1	Carbon	L-Arabitol, 0.3%	F6	0.2713300902	Class D
RS13PM1	Carbon	D-Glucosamine, 0.3%	F7	0.3069562093	Class D
RS13PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.3476756325	Class C
RS13PM1	Carbon	D-Glutamate, 0.2%	F9	0.239351015	Class D
RS13PM1	Carbon	D-Arabinose, 0.3%	F10	0.2545262268	Class D
RS13PM1	Carbon	L-Tryptophan, 0.2%	F11	0.2751803133	Class D
RS13PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.3088924142	Class D
RS13PM1	Nitrogen	Negative Control, 0%	G1	0.5146407383	Class B
RS13PM1	Nitrogen	Tyramine, 0.2%	G2	0.301627203	Class D
RS13PM1	Nitrogen	Uridine, 0.3%	G3	0.417453727	Class C
RS13PM1	Nitrogen	Inosine, 0.3%	G4	0.3186757838	Class D
RS13PM1	Nitrogen	Histamine, 0.3%	G5	0.5346660379	Class B
RS13PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.6452932337	Class B
RS13PM1	Nitrogen	Cytidine, 0.3%	G7	0.958618242	Class A
RS13PM1	Nitrogen	Adenosine, 0.2%	G8	0.5836682383	Class B
RS13PM1	Nitrogen	L-Arginine, 0.2%	G9	0.6993122765	Class B
RS13PM1	Nitrogen	Thiourea, 0.3%	G10	0.3726341171	Class C
RS13PM1	Nitrogen	Biuret, 0.2%	G11	0.2567975173	Class D
RS13PM1	Nitrogen	Guanidine, 0.3%	G12	0.2140528116	Class D
RS13PM1	Nitrogen	L-Histidine, 0.3%	H1	0.4142706968	Class C
RS13PM1	Nitrogen	Thymine, 0.2%	H2	0.4382781261	Class C
RS13PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.4947077283	Class C
RS13PM1	Nitrogen	Allantoin, 0.2%	H4	0.4171307993	Class C
RS13PM1	Nitrogen	Adenine, 0.2%	H5	0.2549618002	Class D
RS13PM1	Nitrogen	Glycine, 0.3%	H6	0.61869293	Class B
RS13PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.3310495307	Class C
RS13PM1	Nitrogen	L-Proline, 0.2%	H8	0.4889055683	Class C
RS13PM1	Nitrogen	D-Methionine, 0.2%	H9	0.278444877	Class D
RS13PM1	Nitrogen	Cytosine, 0.2%	H10	0.4545649616	Class C
RS13PM1	Nitrogen	D-Valine, 0.2%	H11	0.2633819809	Class D
RS13PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	0.3376640508	Class C
RS14PM1	Carbon	Propionic Acid, 0.3%	A1	0.2543839862	Class D
RS14PM1	Carbon	L-Glutamate, 0.3%	A2	0.4067005184	Class C
RS14PM1	Carbon	D-Glucose, 0.3%	A3	0.7806464027	Class A
RS14PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.3227262141	Class C
RS14PM1	Carbon	Lactulose, 0.3%	A5	0.3427982855	Class C
RS14PM1	Carbon	Glycerol, 0.3%	A6	0.5753872825	Class B
RS14PM1	Carbon	Myo-Inositol, 0.3%	A7	0.5971526949	Class B
RS14PM1	Carbon	D-Serine, 0.3%	A8	0.7755150343	Class A
RS14PM1	Carbon	D-Galactose, 0.3%	A9	0.8447151818	Class A
RS14PM1	Carbon	Oxalate, 0.2%	A10	0.2367711308	Class D
RS14PM1	Carbon	Malate, 0.3%	A11	0.4827177822	Class C
RS14PM1	Carbon	L-Methionine, 0.2%	A12	0.251900797	Class D
RS14PM1	Carbon	Glycine, 0.3%	B1	0.2697997955	Class D
RS14PM1	Carbon	Negative Control, 0%	B2	0.2838493567	Class D
RS14PM1	Carbon	Quinic Acid, 0.3%	B3	0.3502240818	Class C
RS14PM1	Carbon	Sodium Succinate, 0.3%	B4	0.7444622899	Class B
RS14PM1	Carbon	Dulcitol, 0.3%	B5	0.2781628751	Class D
RS14PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	0.840577013	Class A
RS14PM1	Carbon	L-Xylose, 0.3%	B7	0.2604389697	Class D
RS14PM1	Carbon	L-Aspartate, 0.2%	B8	0.6842161506	Class B
RS14PM1	Carbon	D-Fructose, 0.3%	B9	0.9523249623	Class A
RS14PM1	Carbon	L-Valine, 0.2%	B10	0.2958130531	Class D
RS14PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.7633175048	Class A
RS14PM1	Carbon	Lactate, 0.3%	B12	0.3628989344	Class C
RS14PM1	Carbon	Citrate, 0.3%	C1	0.3523122083	Class C
RS14PM1	Carbon	D-Mannose, 0.3%	C2	1.108778175	Class A
RS14PM1	Carbon	L-Serine, 0.3%	C3	0.362796925	Class C
RS14PM1	Carbon	D-Salicin, 0.3%	C4	0.8100897615	Class A
RS14PM1	Carbon	D-Cellubiose, 0.3%	C5	0.8258139157	Class A
RS14PM1	Carbon	Adonitol, 0.3%	C6	1.0208621539	Class A
RS14PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	1.0211482362	Class A
RS14PM1	Carbon	L-Sorbose, 0.3%	C8	0.9369247416	Class A
RS14PM1	Carbon	D-Arabitol, 0.3%	C9	1.0731459213	Class A
RS14PM1	Carbon	L-Lysine, 0.3%	C10	0.34755902	Class C
RS14PM1	Carbon	D-Trehalose, 0.3%	C11	0.8811293656	Class A
RS14PM1	Carbon	Acetate, 0.3%	C12	0.3406434863	Class C
RS14PM1	Carbon	L-Alanine, 0.3%	D1	0.2690140666	Class D
RS14PM1	Carbon	L-Arabinose, 0.3%	D2	0.9191386481	Class A
RS14PM1	Carbon	L-Threonine, 0.3%	D3	0.307316058	Class D
RS14PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.4084901417	Class C
RS14PM1	Carbon	D-Ribose, 0.3%	D5	0.964345542	Class A
RS14PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	0.8663343806	Class A
RS14PM1	Carbon	D-Alanine, 0.3%	D7	0.2993774131	Class D
RS14PM1	Carbon	L-Fucose, 0.3%	D8	0.8110200001	Class A
RS14PM1	Carbon	L-Asparagine, 0.2%	D9	0.8227953218	Class A
RS14PM1	Carbon	L-Leucine, 0.3%	D10	0.3397072838	Class C
RS14PM1	Carbon	D-Aspartate, 0.2%	D11	0.3145569022	Class D
RS14PM1	Carbon	Inosine, 0.3%	D12	1.0618708517	Class A
RS14PM1	Carbon	Thymidine, 0.3%	E1	0.3291151534	Class C
RS14PM1	Carbon	Sucrose, 0.3%	E2	0.7988576603	Class A
RS14PM1	Carbon	D-Xylose, 0.3%	E3	0.8255314715	Class A
RS14PM1	Carbon	L-Cysteine, 0.3%	E4	0.3304727529	Class C
RS14PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	0.5095950877	Class B
RS14PM1	Carbon	D-Raffinose, 0.3%	E6	0.9420508199	Class A
RS14PM1	Carbon	D-Asparagine, 0.3%	E7	0.3279132476	Class C
RS14PM1	Carbon	i-Erythritol, 0.3%	E8	0.9191281886	Class A
RS14PM1	Carbon	D-Cysteine, 0.3%	E9	0.3723420234	Class C
RS14PM1	Carbon	L-Isoleucine, 0.2%	E10	0.3350772354	Class C
RS14PM1	Carbon	L-Cysteate, 0.3%	E11	0.3580704692	Class C
RS14PM1	Carbon	Adenosine, 0.2%	E12	0.9347722942	Class A
RS14PM1	Carbon	Xylitol, 0.3%	F1	0.3879615384	Class C
RS14PM1	Carbon	L-Glutamine, 0.3%	F2	0.5817456729	Class B
RS14PM1	Carbon	L-Rhamnose, 0.3%	F3	0.6429891475	Class B
RS14PM1	Carbon	Putrescine, 0.3%	F4	0.3577571417	Class C
RS14PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.8254306918	Class A
RS14PM1	Carbon	L-Arabitol, 0.3%	F6	0.8772192688	Class A
RS14PM1	Carbon	D-Glucosamine, 0.3%	F7	1.1717489214	Class A
RS14PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.3419311106	Class C
RS14PM1	Carbon	D-Glutamate, 0.2%	F9	0.5207852692	Class B
RS14PM1	Carbon	D-Arabinose, 0.3%	F10	0.3298096815	Class C
RS14PM1	Carbon	L-Tryptophan, 0.2%	F11	0.4021132882	Class C
RS14PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.6828243361	Class B
RS14PM1	Nitrogen	Negative Control, 0%	G1	0.3301099032	Class C
RS14PM1	Nitrogen	Tyramine, 0.2%	G2	0.3894909098	Class C
RS14PM1	Nitrogen	Uridine, 0.3%	G3	0.3818435945	Class C
RS14PM1	Nitrogen	Inosine, 0.3%	G4	0.390443184	Class C
RS14PM1	Nitrogen	Histamine, 0.3%	G5	0.3253219695	Class C
RS14PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.640673458	Class B
RS14PM1	Nitrogen	Cytidine, 0.3%	G7	0.9773950016	Class A
RS14PM1	Nitrogen	Adenosine, 0.2%	G8	1.080291303	Class A
RS14PM1	Nitrogen	L-Arginine, 0.2%	G9	0.8339569002	Class A
RS14PM1	Nitrogen	Thiourea, 0.3%	G10	0.3367022545	Class C
RS14PM1	Nitrogen	Biuret, 0.2%	G11	0.4243324543	Class C
RS14PM1	Nitrogen	Guanidine, 0.3%	G12	0.7777290889	Class A
RS14PM1	Nitrogen	L-Histidine, 0.3%	H1	0.6792382021	Class B
RS14PM1	Nitrogen	Thymine, 0.2%	H2	0.3213836695	Class C
RS14PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.9723344282	Class A
RS14PM1	Nitrogen	Allantoin, 0.2%	H4	0.6334047144	Class B
RS14PM1	Nitrogen	Adenine, 0.2%	H5	0.3777012399	Class C
RS14PM1	Nitrogen	Glycine, 0.3%	H6	0.3221539062	Class C
RS14PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.275514879	Class D
RS14PM1	Nitrogen	L-Proline, 0.2%	H8	0.5802943426	Class B
RS14PM1	Nitrogen	D-Methionine, 0.2%	H9	0.2673347692	Class D
RS14PM1	Nitrogen	Cytosine, 0.2%	H10	0.7406030724	Class B
RS14PM1	Nitrogen	D-Valine, 0.2%	H11	0.2616897735	Class D
RS14PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	1.0148261616	Class A
RS15PM1	Carbon	Propionic Acid, 0.3%	A1	0.2675998894	Class D
RS15PM1	Carbon	L-Glutamate, 0.3%	A2	0.3189904649	Class D
RS15PM1	Carbon	D-Glucose, 0.3%	A3	0.8605921838	Class A
RS15PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.2548779598	Class D
RS15PM1	Carbon	Lactulose, 0.3%	A5	0.3437232697	Class C
RS15PM1	Carbon	Glycerol, 0.3%	A6	0.4429438324	Class C
RS15PM1	Carbon	Myo-Inositol, 0.3%	A7	0.4178090802	Class C
RS15PM1	Carbon	D-Serine, 0.3%	A8	0.5044588335	Class B
RS15PM1	Carbon	D-Galactose, 0.3%	A9	0.7971674229	Class A
RS15PM1	Carbon	Oxalate, 0.2%	A10	0.237671802	Class D
RS15PM1	Carbon	Malate, 0.3%	A11	0.4472699725	Class C
RS15PM1	Carbon	L-Methionine, 0.2%	A12	0.2425634241	Class D
RS15PM1	Carbon	Glycine, 0.3%	B1	0.2786075404	Class D
RS15PM1	Carbon	Negative Control, 0%	B2	0.2940923802	Class D
RS15PM1	Carbon	Quinic Acid, 0.3%	B3	0.4397758488	Class C
RS15PM1	Carbon	Sodium Succinate, 0.3%	B4	0.4802147118	Class C
RS15PM1	Carbon	Dulcitol, 0.3%	B5	0.2928254896	Class D
RS15PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	0.82836877	Class A
RS15PM1	Carbon	L-Xylose, 0.3%	B7	0.2674592646	Class D
RS15PM1	Carbon	L-Aspartate, 0.2%	B8	0.4194630222	Class C
RS15PM1	Carbon	D-Fructose, 0.3%	B9	0.7284125	Class B
RS15PM1	Carbon	L-Valine, 0.2%	B10	0.2655619714	Class D
RS15PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.4758621409	Class C
RS15PM1	Carbon	Lactate, 0.3%	B12	0.3002836976	Class D
RS15PM1	Carbon	Citrate, 0.3%	C1	0.3247584442	Class C
RS15PM1	Carbon	D-Mannose, 0.3%	C2	0.9764022263	Class A
RS15PM1	Carbon	L-Serine, 0.3%	C3	0.4388437749	Class C
RS15PM1	Carbon	D-Salicin, 0.3%	C4	0.6055823079	Class B
RS15PM1	Carbon	D-Cellubiose, 0.3%	C5	0.6871039727	Class B
RS15PM1	Carbon	Adonitol, 0.3%	C6	0.6942082339	Class B
RS15PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	0.8486289464	Class A
RS15PM1	Carbon	L-Sorbose, 0.3%	C8	1.0241952823	Class A
RS15PM1	Carbon	D-Arabitol, 0.3%	C9	0.8740510452	Class A
RS15PM1	Carbon	L-Lysine, 0.3%	C10	0.2542655999	Class D
RS15PM1	Carbon	D-Trehalose, 0.3%	C11	0.7179596101	Class B
RS15PM1	Carbon	Acetate, 0.3%	C12	0.2633822585	Class D
RS15PM1	Carbon	L-Alanine, 0.3%	D1	0.3062335712	Class D
RS15PM1	Carbon	L-Arabinose, 0.3%	D2	0.7951599418	Class A
RS15PM1	Carbon	L-Threonine, 0.3%	D3	0.2827809676	Class D
RS15PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.4375739869	Class C
RS15PM1	Carbon	D-Ribose, 0.3%	D5	0.5395893264	Class B
RS15PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	0.8949384545	Class A
RS15PM1	Carbon	D-Alanine, 0.3%	D7	0.3242186933	Class C
RS15PM1	Carbon	L-Fucose, 0.3%	D8	0.767955812	Class A
RS15PM1	Carbon	L-Asparagine, 0.2%	D9	0.4618610298	Class C
RS15PM1	Carbon	L-Leucine, 0.3%	D10	0.2734633062	Class D
RS15PM1	Carbon	D-Aspartate, 0.2%	D11	0.2616603125	Class D
RS15PM1	Carbon	Inosine, 0.3%	D12	0.7128471947	Class B
RS15PM1	Carbon	Thymidine, 0.3%	E1	0.4300704411	Class C
RS15PM1	Carbon	Sucrose, 0.3%	E2	0.8282441601	Class A
RS15PM1	Carbon	D-Xylose, 0.3%	E3	0.7623195842	Class A
RS15PM1	Carbon	L-Cysteine, 0.3%	E4	0.3139604295	Class D
RS15PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	0.5882694014	Class B
RS15PM1	Carbon	D-Raffinose, 0.3%	E6	0.306061886	Class D
RS15PM1	Carbon	D-Asparagine, 0.3%	E7	0.283954228	Class D
RS15PM1	Carbon	i-Erythritol, 0.3%	E8	0.3874830788	Class C
RS15PM1	Carbon	D-Cysteine, 0.3%	E9	0.285087562	Class D
RS15PM1	Carbon	L-Isoleucine, 0.2%	E10	0.2979909188	Class D
RS15PM1	Carbon	L-Cysteate, 0.3%	E11	0.2875925088	Class D
RS15PM1	Carbon	Adenosine, 0.2%	E12	0.6392582691	Class B
RS15PM1	Carbon	Xylitol, 0.3%	F1	0.5662715612	Class B
RS15PM1	Carbon	L-Glutamine, 0.3%	F2	0.4447697198	Class C
RS15PM1	Carbon	L-Rhamnose, 0.3%	F3	0.7978412808	Class A
RS15PM1	Carbon	Putrescine, 0.3%	F4	0.3274392368	Class C
RS15PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.9030595551	Class A
RS15PM1	Carbon	L-Arabitol, 0.3%	F6	0.3690232224	Class C
RS15PM1	Carbon	D-Glucosamine, 0.3%	F7	0.7196087178	Class B
RS15PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.2928188824	Class D
RS15PM1	Carbon	D-Glutamate, 0.2%	F9	0.4051649707	Class C
RS15PM1	Carbon	D-Arabinose, 0.3%	F10	0.2865659949	Class D
RS15PM1	Carbon	L-Tryptophan, 0.2%	F11	0.4832648916	Class C
RS15PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.4785021851	Class C
RS15PM1	Nitrogen	Negative Control, 0%	G1	0.3199613119	Class D
RS15PM1	Nitrogen	Tyramine, 0.2%	G2	0.4873072113	Class C
RS15PM1	Nitrogen	Uridine, 0.3%	G3	0.3991060998	Class C
RS15PM1	Nitrogen	Inosine, 0.3%	G4	0.3964544934	Class C
RS15PM1	Nitrogen	Histamine, 0.3%	G5	0.3802611437	Class C
RS15PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	0.4805936516	Class C
RS15PM1	Nitrogen	Cytidine, 0.3%	G7	0.9151940712	Class A
RS15PM1	Nitrogen	Adenosine, 0.2%	G8	1.0016353805	Class A
RS15PM1	Nitrogen	L-Arginine, 0.2%	G9	0.7254070517	Class B
RS15PM1	Nitrogen	Thiourea, 0.3%	G10	0.3683274866	Class C
RS15PM1	Nitrogen	Biuret, 0.2%	G11	0.3938825741	Class C
RS15PM1	Nitrogen	Guanidine, 0.3%	G12	0.7646384676	Class A
RS15PM1	Nitrogen	L-Histidine, 0.3%	H1	0.4386753685	Class C
RS15PM1	Nitrogen	Thymine, 0.2%	H2	0.3530155835	Class C
RS15PM1	Nitrogen	L-Glutathione, 0.2%	H3	0.9585419705	Class A
RS15PM1	Nitrogen	Allantoin, 0.2%	H4	0.73721725	Class B
RS15PM1	Nitrogen	Adenine, 0.2%	H5	0.5143107295	Class B
RS15PM1	Nitrogen	Glycine, 0.3%	H6	0.3775231477	Class C
RS15PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.2963609617	Class D
RS15PM1	Nitrogen	L-Proline, 0.2%	H8	0.4831944822	Class C
RS15PM1	Nitrogen	D-Methionine, 0.2%	H9	0.2755907068	Class D
RS15PM1	Nitrogen	Cytosine, 0.2%	H10	0.851175442	Class A
RS15PM1	Nitrogen	D-Valine, 0.2%	H11	0.2568699143	Class D
RS15PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	0.6183965564	Class B
RS16PM1	Carbon	Propionic Acid, 0.3%	A1	0.294298736	Class D
RS16PM1	Carbon	L-Glutamate, 0.3%	A2	0.5880172528	Class B
RS16PM1	Carbon	D-Glucose, 0.3%	A3	1.194868266	Class A
RS16PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.2675568282	Class D
RS16PM1	Carbon	Lactulose, 0.3%	A5	0.2925723096	Class D
RS16PM1	Carbon	Glycerol, 0.3%	A6	1.2376113634	Class A
RS16PM1	Carbon	Myo-Inositol, 0.3%	A7	1.1031379841	Class A
RS16PM1	Carbon	D-Serine, 0.3%	A8	0.3922818561	Class C
RS16PM1	Carbon	D-Galactose, 0.3%	A9	1.0615038137	Class A
RS16PM1	Carbon	Oxalate, 0.2%	A10	0.2285508583	Class D
RS16PM1	Carbon	Malate, 0.3%	A11	0.5647932998	Class B
RS16PM1	Carbon	L-Methionine, 0.2%	A12	0.2622769127	Class D
RS16PM1	Carbon	Glycine, 0.3%	B1	0.3375643577	Class C
RS16PM1	Carbon	Negative Control, 0%	B2	0.393966736	Class C
RS16PM1	Carbon	Quinic Acid, 0.3%	B3	0.4698061186	Class C
RS16PM1	Carbon	Sodium Succinate, 0.3%	B4	0.8148961958	Class A
RS16PM1	Carbon	Dulcitol, 0.3%	B5	0.3614287855	Class C
RS16PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	1.199486325	Class A
RS16PM1	Carbon	L-Xylose, 0.3%	B7	0.310653254	Class D
RS16PM1	Carbon	L-Aspartate, 0.2%	B8	0.5349959449	Class B
RS16PM1	Carbon	D-Fructose, 0.3%	B9	1.1354127185	Class A
RS16PM1	Carbon	L-Valine, 0.2%	B10	0.3734710773	Class C
RS16PM1	Carbon	Sodium Pyruvate, 0.3%	B11	0.8428549021	Class A
RS16PM1	Carbon	Lactate, 0.3%	B12	0.3789598945	Class C
RS16PM1	Carbon	Citrate, 0.3%	C1	0.2991984935	Class D
RS16PM1	Carbon	D-Mannose, 0.3%	C2	1.254430555	Class A
RS16PM1	Carbon	L-Serine, 0.3%	C3	0.6383498844	Class B
RS16PM1	Carbon	D-Salicin, 0.3%	C4	0.8927202049	Class A
RS16PM1	Carbon	D-Cellubiose, 0.3%	C5	0.8443358701	Class A
RS16PM1	Carbon	Adonitol, 0.3%	C6	0.7454803905	Class B
RS16PM1	Carbon	D-Glucose-6-phosphate, 0.3%	C7	1.0342198759	Class A
RS16PM1	Carbon	L-Sorbose, 0.3%	C8	1.05335575	Class A
RS16PM1	Carbon	D-Arabitol, 0.3%	C9	0.8511272902	Class A
RS16PM1	Carbon	L-Lysine, 0.3%	C10	0.3803600332	Class C
RS16PM1	Carbon	D-Trehalose, 0.3%	C11	1.1422844003	Class A
RS16PM1	Carbon	Acetate, 0.3%	C12	0.5593066089	Class B
RS16PM1	Carbon	L-Alanine, 0.3%	D1	0.5657333066	Class B
RS16PM1	Carbon	L-Arabinose, 0.3%	D2	0.7191630251	Class B
RS16PM1	Carbon	L-Threonine, 0.3%	D3	0.4121992268	Class C
RS16PM1	Carbon	4 Hydroxy-Phenylacetate, 0.3%	D4	0.4594961346	Class C
RS16PM1	Carbon	D-Ribose, 0.3%	D5	1.0018791893	Class A
RS16PM1	Carbon	Alpha-D-Melebiose, 0.3%	D6	0.9028524954	Class A
RS16PM1	Carbon	D-Alanine, 0.3%	D7	0.531761136	Class B
RS16PM1	Carbon	L-Fucose, 0.3%	D8	0.3935498345	Class C
RS16PM1	Carbon	L-Asparagine, 0.2%	D9	0.7668559953	Class A
RS16PM1	Carbon	L-Leucine, 0.3%	D10	0.3821247243	Class C
RS16PM1	Carbon	D-Aspartate, 0.2%	D11	0.3725812146	Class C
RS16PM1	Carbon	Inosine, 0.3%	D12	1.1004791082	Class A
RS16PM1	Carbon	Thymidine, 0.3%	E1	0.5843293536	Class B
RS16PM1	Carbon	Sucrose, 0.3%	E2	0.4604403882	Class C
RS16PM1	Carbon	D-Xylose, 0.3%	E3	0.8674170825	Class A
RS16PM1	Carbon	L-Cysteine, 0.3%	E4	0.4086367711	Class C
RS16PM1	Carbon	Alpha-D-Lactose, 0.3%	E5	0.6096227697	Class B
RS16PM1	Carbon	D-Raffinose, 0.3%	E6	0.8536479301	Class A
RS16PM1	Carbon	D-Asparagine, 0.3%	E7	0.3998214058	Class C
RS16PM1	Carbon	i-Erythritol, 0.3%	E8	0.3892789046	Class C
RS16PM1	Carbon	D-Cysteine, 0.3%	E9	0.3777869985	Class C
RS16PM1	Carbon	L-Isoleucine, 0.2%	E10	0.379412159	Class C
RS16PM1	Carbon	L-Cysteate, 0.3%	E11	0.3627754147	Class C
RS16PM1	Carbon	Adenosine, 0.2%	E12	0.7991676266	Class A
RS16PM1	Carbon	Xylitol, 0.3%	F1	1.2569614472	Class A
RS16PM1	Carbon	L-Glutamine, 0.3%	F2	1.133338824	Class A
RS16PM1	Carbon	L-Rhamnose, 0.3%	F3	0.8430979652	Class A
RS16PM1	Carbon	Putrescine, 0.3%	F4	0.4053089777	Class C
RS16PM1	Carbon	2-Deoxy-D-Ribose, 0.3%	F5	0.405044673	Class C
RS16PM1	Carbon	L-Arabitol, 0.3%	F6	0.3829681052	Class C
RS16PM1	Carbon	D-Glucosamine, 0.3%	F7	1.0994216715	Class A
RS16PM1	Carbon	L-Phenylalanine, 0.3%	F8	0.3911914412	Class C
RS16PM1	Carbon	D-Glutamate, 0.2%	F9	0.9034481252	Class A
RS16PM1	Carbon	D-Arabinose, 0.3%	F10	0.3791063605	Class C
RS16PM1	Carbon	L-Tryptophan, 0.2%	F11	0.4794685401	Class C
RS16PM1	Carbon	L-Pyro-Glutamate, 0.3%	F12	0.9398134725	Class A
RS16PM1	Nitrogen	Negative Control, 0%	G1	0.3969760309	Class C
RS16PM1	Nitrogen	Tyramine, 0.2%	G2	0.5193695118	Class B
RS16PM1	Nitrogen	Uridine, 0.3%	G3	0.4400071316	Class C
RS16PM1	Nitrogen	Inosine, 0.3%	G4	0.3062709394	Class D
RS16PM1	Nitrogen	Histamine, 0.3%	G5	0.324522305	Class C
RS16PM1	Nitrogen	L-Pyro-Glutamate, 0.3%	G6	1.0769503571	Class A
RS16PM1	Nitrogen	Cytidine, 0.3%	G7	1.5735367609	Class A
RS16PM1	Nitrogen	Adenosine, 0.2%	G8	1.0555958594	Class A
RS16PM1	Nitrogen	L-Arginine, 0.2%	G9	0.8573196901	Class A
RS16PM1	Nitrogen	Thiourea, 0.3%	G10	0.3260358555	Class C
RS16PM1	Nitrogen	Biuret, 0.2%	G11	0.3903500624	Class C
RS16PM1	Nitrogen	Guanidine, 0.3%	G12	0.3352444688	Class C
RS16PM1	Nitrogen	L-Histidine, 0.3%	H1	1.1569109537	Class A
RS16PM1	Nitrogen	Thymine, 0.2%	H2	0.331451426	Class C
RS16PM1	Nitrogen	L-Glutathione, 0.2%	H3	1.2157557472	Class A
RS16PM1	Nitrogen	Allantoin, 0.2%	H4	0.2839954429	Class D
RS16PM1	Nitrogen	Adenine, 0.2%	H5	0.6482704697	Class B
RS16PM1	Nitrogen	Glycine, 0.3%	H6	0.7633537845	Class A
RS16PM1	Nitrogen	Beta-Phenylethylamine, 0.3%	H7	0.2777771627	Class D
RS16PM1	Nitrogen	L-Proline, 0.2%	H8	0.8132607898	Class A
RS16PM1	Nitrogen	D-Methionine, 0.2%	H9	0.2991358512	Class D
RS16PM1	Nitrogen	Cytosine, 0.2%	H10	0.2641986601	Class D
RS16PM1	Nitrogen	D-Valine, 0.2%	H11	0.2979661208	Class D
RS16PM1	Nitrogen	N-Acetyl-D-Glucosamine, 0.2%	H12	1.1490329171	Class A
RS17PM1	Carbon	Propionic Acid, 0.3%	A1	0.3516716494	Class C
RS17PM1	Carbon	L-Glutamate, 0.3%	A2	0.4729438971	Class C
RS17PM1	Carbon	D-Glucose, 0.3%	A3	0.8048057058	Class A
RS17PM1	Carbon	Potasium Sorbate, 0.3%	A4	0.4156578477	Class C
RS17PM1	Carbon	Lactulose, 0.3%	A5	0.2524092959	Class D
RS17PM1	Carbon	Glycerol, 0.3%	A6	0.4985805081	Class C
RS17PM1	Carbon	Myo-Inositol, 0.3%	A7	0.7127483404	Class B
RS17PM1	Carbon	D-Serine, 0.3%	A8	0.463602325	Class C
RS17PM1	Carbon	D-Galactose, 0.3%	A9	1.020917502	Class A
RS17PM1	Carbon	Oxalate, 0.2%	A10	0.2918542974	Class D
RS17PM1	Carbon	Malate, 0.3%	A11	0.6372063354	Class B
RS17PM1	Carbon	L-Methionine, 0.2%	A12	0.3407389782	Class C
RS17PM1	Carbon	Glycine, 0.3%	B1	0.4848386422	Class C
RS17PM1	Carbon	Negative Control, 0%	B2	0.4304320419	Class C
RS17PM1	Carbon	Quinic Acid, 0.3%	B3	0.2968723369	Class D
RS17PM1	Carbon	Sodium Succinate, 0.3%	B4	0.9701188688	Class A
RS17PM1	Carbon	Dulcitol, 0.3%	B5	0.4569977467	Class C
RS17PM1	Carbon	Alpha-D-Glucose, 0.3%	B6	0.8613045391	Class A
RS17PM1	Carbon	L-Xylose, 0.3%	B7	0.2490607259	Class D
RS17PM1	Carbon	L-Aspartate, 0.2%	B8	0.2612696347	Class D
RS17PM1	Carbon	D-Fructose, 0.3%	B9	0.8752399515	Class A
RS17PM1	Carbon	L-Valine, 0.2%	B10	0.2812842165	Class D
RS17PM1	Carbon	Sodium Pyruvate, 0.3%	B11	1.1332776796	Class A
RS17PM1	Carbon	Lactate, 0.3%	B12	1.0083493248	Class A
